Epoch, Train Loss, Valid Loss, Test Loss
1, 0.463051, 0.542093, 0.543740
2, 0.398131, 0.475923, 0.478231
3, 0.348623, 0.417428, 0.420621
4, 0.311812, 0.369370, 0.373151
5, 0.283826, 0.331331, 0.335636
6, 0.262027, 0.307106, 0.311480
7, 0.247283, 0.287369, 0.291744
8, 0.234148, 0.270121, 0.274384
9, 0.221541, 0.252944, 0.256851
10, 0.208301, 0.236016, 0.239602
11, 0.194859, 0.219486, 0.222733
12, 0.181293, 0.203425, 0.206283
13, 0.167808, 0.188563, 0.191069
14, 0.155181, 0.174463, 0.176688
15, 0.143327, 0.160865, 0.162857
16, 0.132031, 0.147930, 0.149719
17, 0.121335, 0.135538, 0.137144
18, 0.111135, 0.123472, 0.124921
19, 0.101272, 0.111660, 0.112987
20, 0.091691, 0.100204, 0.101436
21, 0.082461, 0.089278, 0.090428
22, 0.073686, 0.079096, 0.080168
23, 0.065489, 0.069836, 0.070829
24, 0.057985, 0.061543, 0.062452
25, 0.051230, 0.054177, 0.055004
26, 0.045211, 0.047680, 0.048438
27, 0.039876, 0.041996, 0.042693
28, 0.035183, 0.037066, 0.037709
29, 0.031088, 0.032758, 0.033351
30, 0.027501, 0.028929, 0.029479
31, 0.024357, 0.025537, 0.026048
32, 0.021549, 0.022572, 0.023045
33, 0.019130, 0.020018, 0.020458
34, 0.017015, 0.017827, 0.018236
35, 0.015203, 0.015961, 0.016343
36, 0.013664, 0.014377, 0.014737
37, 0.012356, 0.013042, 0.013385
38, 0.011257, 0.011911, 0.012239
39, 0.010319, 0.010941, 0.011256
40, 0.009508, 0.010088, 0.010391
41, 0.008790, 0.009314, 0.009606
42, 0.008162, 0.008595, 0.008878
43, 0.007578, 0.007957, 0.008228
44, 0.007064, 0.007383, 0.007644
45, 0.006600, 0.006868, 0.007117
46, 0.006182, 0.006403, 0.006644
47, 0.005821, 0.005985, 0.006218
48, 0.005495, 0.005619, 0.005846
49, 0.005214, 0.005306, 0.005528
50, 0.004969, 0.005044, 0.005259
51, 0.004757, 0.004818, 0.005026
52, 0.004564, 0.004614, 0.004814
53, 0.004389, 0.004431, 0.004623
54, 0.004237, 0.004263, 0.004448
55, 0.004100, 0.004115, 0.004295
56, 0.003973, 0.003985, 0.004159
57, 0.003862, 0.003864, 0.004033
58, 0.003766, 0.003759, 0.003924
59, 0.003684, 0.003675, 0.003835
60, 0.003617, 0.003608, 0.003763
61, 0.003553, 0.003543, 0.003694
62, 0.003493, 0.003476, 0.003623
63, 0.003448, 0.003412, 0.003555
64, 0.003404, 0.003350, 0.003489
65, 0.003359, 0.003301, 0.003435
66, 0.003313, 0.003257, 0.003387
67, 0.003267, 0.003219, 0.003345
68, 0.003246, 0.003173, 0.003297
69, 0.003209, 0.003133, 0.003253
70, 0.003190, 0.003101, 0.003218
71, 0.003155, 0.003081, 0.003195
72, 0.003130, 0.003058, 0.003168
73, 0.003114, 0.003033, 0.003141
74, 0.003093, 0.003008, 0.003113
75, 0.003077, 0.002985, 0.003087
76, 0.003054, 0.002967, 0.003067
77, 0.003045, 0.002954, 0.003050
78, 0.003031, 0.002945, 0.003038
79, 0.003017, 0.002932, 0.003022
80, 0.003001, 0.002914, 0.003003
81, 0.002992, 0.002897, 0.002983
82, 0.002982, 0.002882, 0.002967
83, 0.002974, 0.002877, 0.002959
84, 0.002960, 0.002879, 0.002957
85, 0.002958, 0.002868, 0.002944
86, 0.002944, 0.002857, 0.002930
87, 0.002936, 0.002844, 0.002916
88, 0.002930, 0.002834, 0.002904
89, 0.002923, 0.002828, 0.002897
90, 0.002920, 0.002820, 0.002887
91, 0.002906, 0.002812, 0.002876
92, 0.002906, 0.002809, 0.002871
93, 0.002906, 0.002809, 0.002868
94, 0.002894, 0.002805, 0.002861
95, 0.002887, 0.002798, 0.002852
96, 0.002876, 0.002790, 0.002843
97, 0.002878, 0.002781, 0.002833
98, 0.002872, 0.002776, 0.002827
99, 0.002862, 0.002779, 0.002827
100, 0.002864, 0.002781, 0.002828
101, 0.002859, 0.002778, 0.002823
102, 0.002848, 0.002768, 0.002813
103, 0.002848, 0.002759, 0.002802
104, 0.002847, 0.002756, 0.002797
105, 0.002839, 0.002759, 0.002798
106, 0.002834, 0.002762, 0.002800
107, 0.002835, 0.002758, 0.002795
108, 0.002825, 0.002750, 0.002786
109, 0.002820, 0.002742, 0.002777
110, 0.002821, 0.002742, 0.002775
111, 0.002818, 0.002746, 0.002777
112, 0.002819, 0.002741, 0.002770
113, 0.002811, 0.002736, 0.002765
114, 0.002808, 0.002731, 0.002760
115, 0.002811, 0.002731, 0.002759
116, 0.002794, 0.002730, 0.002757
117, 0.002793, 0.002726, 0.002752
118, 0.002790, 0.002723, 0.002748
119, 0.002790, 0.002723, 0.002747
120, 0.002789, 0.002723, 0.002746
121, 0.002782, 0.002721, 0.002743
122, 0.002784, 0.002718, 0.002739
123, 0.002781, 0.002716, 0.002736
124, 0.002778, 0.002713, 0.002732
125, 0.002776, 0.002715, 0.002732
126, 0.002771, 0.002713, 0.002730
127, 0.002769, 0.002703, 0.002720
128, 0.002769, 0.002701, 0.002717
129, 0.002767, 0.002702, 0.002717
130, 0.002761, 0.002708, 0.002721
131, 0.002760, 0.002706, 0.002718
132, 0.002752, 0.002702, 0.002713
133, 0.002748, 0.002696, 0.002708
134, 0.002746, 0.002695, 0.002706
135, 0.002740, 0.002695, 0.002704
136, 0.002744, 0.002694, 0.002702
137, 0.002743, 0.002696, 0.002704
138, 0.002736, 0.002693, 0.002700
139, 0.002734, 0.002691, 0.002698
140, 0.002728, 0.002686, 0.002692
141, 0.002724, 0.002684, 0.002690
142, 0.002721, 0.002683, 0.002689
143, 0.002718, 0.002685, 0.002690
144, 0.002719, 0.002685, 0.002690
145, 0.002715, 0.002687, 0.002690
146, 0.002710, 0.002683, 0.002686
147, 0.002711, 0.002679, 0.002681
148, 0.002703, 0.002674, 0.002677
149, 0.002712, 0.002672, 0.002675
150, 0.002703, 0.002672, 0.002674
151, 0.002698, 0.002674, 0.002675
152, 0.002699, 0.002673, 0.002673
153, 0.002690, 0.002673, 0.002672
154, 0.002697, 0.002670, 0.002669
155, 0.002691, 0.002668, 0.002667
156, 0.002687, 0.002668, 0.002666
157, 0.002686, 0.002669, 0.002666
158, 0.002681, 0.002667, 0.002663
159, 0.002681, 0.002668, 0.002664
160, 0.002679, 0.002663, 0.002660
161, 0.002677, 0.002664, 0.002660
162, 0.002668, 0.002660, 0.002656
163, 0.002674, 0.002658, 0.002653
164, 0.002668, 0.002657, 0.002652
165, 0.002664, 0.002658, 0.002652
166, 0.002665, 0.002659, 0.002652
167, 0.002657, 0.002660, 0.002653
168, 0.002659, 0.002657, 0.002650
169, 0.002654, 0.002655, 0.002647
170, 0.002660, 0.002652, 0.002644
171, 0.002654, 0.002652, 0.002643
172, 0.002650, 0.002649, 0.002640
173, 0.002645, 0.002649, 0.002640
174, 0.002647, 0.002649, 0.002639
175, 0.002643, 0.002647, 0.002638
176, 0.002642, 0.002647, 0.002637
177, 0.002634, 0.002647, 0.002636
178, 0.002637, 0.002645, 0.002635
179, 0.002632, 0.002646, 0.002635
180, 0.002629, 0.002644, 0.002633
181, 0.002631, 0.002643, 0.002632
182, 0.002624, 0.002641, 0.002630
183, 0.002623, 0.002638, 0.002626
184, 0.002622, 0.002637, 0.002624
185, 0.002619, 0.002638, 0.002624
186, 0.002617, 0.002640, 0.002626
187, 0.002617, 0.002637, 0.002624
188, 0.002611, 0.002637, 0.002623
189, 0.002612, 0.002634, 0.002619
190, 0.002612, 0.002636, 0.002621
191, 0.002606, 0.002634, 0.002619
192, 0.002604, 0.002631, 0.002617
193, 0.002600, 0.002628, 0.002614
194, 0.002598, 0.002625, 0.002611
195, 0.002597, 0.002626, 0.002610
196, 0.002597, 0.002626, 0.002611
197, 0.002598, 0.002627, 0.002611
198, 0.002593, 0.002624, 0.002608
199, 0.002585, 0.002621, 0.002605
200, 0.002587, 0.002620, 0.002603
201, 0.002581, 0.002620, 0.002604
202, 0.002581, 0.002622, 0.002606
203, 0.002582, 0.002622, 0.002605
204, 0.002575, 0.002618, 0.002601
205, 0.002581, 0.002615, 0.002597
206, 0.002577, 0.002613, 0.002595
207, 0.002573, 0.002612, 0.002594
208, 0.002571, 0.002613, 0.002595
209, 0.002570, 0.002611, 0.002594
210, 0.002563, 0.002610, 0.002592
211, 0.002566, 0.002609, 0.002590
212, 0.002565, 0.002610, 0.002591
213, 0.002563, 0.002609, 0.002590
214, 0.002555, 0.002606, 0.002588
215, 0.002560, 0.002604, 0.002586
216, 0.002555, 0.002603, 0.002584
217, 0.002553, 0.002602, 0.002583
218, 0.002555, 0.002603, 0.002583
219, 0.002548, 0.002600, 0.002580
220, 0.002547, 0.002598, 0.002579
221, 0.002547, 0.002596, 0.002577
222, 0.002546, 0.002595, 0.002576
223, 0.002542, 0.002595, 0.002574
224, 0.002541, 0.002595, 0.002573
225, 0.002537, 0.002593, 0.002572
226, 0.002533, 0.002591, 0.002571
227, 0.002534, 0.002589, 0.002569
228, 0.002535, 0.002588, 0.002567
229, 0.002528, 0.002588, 0.002566
230, 0.002527, 0.002587, 0.002565
231, 0.002526, 0.002585, 0.002563
232, 0.002523, 0.002583, 0.002563
233, 0.002521, 0.002582, 0.002561
234, 0.002520, 0.002583, 0.002560
235, 0.002520, 0.002580, 0.002557
236, 0.002518, 0.002578, 0.002556
237, 0.002519, 0.002576, 0.002554
238, 0.002515, 0.002575, 0.002553
239, 0.002510, 0.002575, 0.002553
240, 0.002513, 0.002573, 0.002550
241, 0.002507, 0.002570, 0.002548
242, 0.002507, 0.002567, 0.002545
243, 0.002506, 0.002566, 0.002543
244, 0.002501, 0.002566, 0.002542
245, 0.002499, 0.002565, 0.002542
246, 0.002498, 0.002564, 0.002541
247, 0.002494, 0.002562, 0.002538
248, 0.002492, 0.002558, 0.002535
249, 0.002495, 0.002556, 0.002533
250, 0.002489, 0.002555, 0.002532
251, 0.002488, 0.002555, 0.002532
252, 0.002486, 0.002554, 0.002530
253, 0.002485, 0.002552, 0.002528
254, 0.002489, 0.002550, 0.002525
255, 0.002480, 0.002548, 0.002523
256, 0.002480, 0.002546, 0.002522
257, 0.002479, 0.002546, 0.002522
258, 0.002473, 0.002545, 0.002520
259, 0.002476, 0.002543, 0.002518
260, 0.002471, 0.002539, 0.002515
261, 0.002469, 0.002536, 0.002512
262, 0.002466, 0.002536, 0.002511
263, 0.002465, 0.002535, 0.002510
264, 0.002465, 0.002535, 0.002509
265, 0.002460, 0.002531, 0.002506
266, 0.002460, 0.002528, 0.002503
267, 0.002458, 0.002525, 0.002500
268, 0.002458, 0.002525, 0.002499
269, 0.002452, 0.002525, 0.002499
270, 0.002452, 0.002524, 0.002497
271, 0.002452, 0.002521, 0.002495
272, 0.002450, 0.002519, 0.002493
273, 0.002446, 0.002516, 0.002490
274, 0.002446, 0.002514, 0.002487
275, 0.002440, 0.002513, 0.002487
276, 0.002437, 0.002514, 0.002488
277, 0.002439, 0.002511, 0.002484
278, 0.002437, 0.002509, 0.002482
279, 0.002436, 0.002507, 0.002479
280, 0.002432, 0.002505, 0.002477
281, 0.002434, 0.002502, 0.002474
282, 0.002433, 0.002501, 0.002474
283, 0.002431, 0.002501, 0.002473
284, 0.002430, 0.002501, 0.002474
285, 0.002426, 0.002498, 0.002471
286, 0.002425, 0.002495, 0.002468
287, 0.002423, 0.002490, 0.002463
288, 0.002416, 0.002490, 0.002463
289, 0.002419, 0.002490, 0.002463
290, 0.002419, 0.002487, 0.002459
291, 0.002416, 0.002488, 0.002460
292, 0.002411, 0.002489, 0.002462
293, 0.002413, 0.002485, 0.002458
294, 0.002413, 0.002481, 0.002452
295, 0.002409, 0.002480, 0.002452
296, 0.002405, 0.002482, 0.002454
297, 0.002408, 0.002481, 0.002453
298, 0.002406, 0.002476, 0.002448
299, 0.002401, 0.002474, 0.002445
300, 0.002402, 0.002475, 0.002447
301, 0.002403, 0.002473, 0.002445
302, 0.002399, 0.002471, 0.002442
303, 0.002398, 0.002473, 0.002444
304, 0.002401, 0.002473, 0.002444
305, 0.002398, 0.002468, 0.002439
306, 0.002395, 0.002465, 0.002435
307, 0.002392, 0.002468, 0.002439
308, 0.002393, 0.002465, 0.002436
309, 0.002391, 0.002462, 0.002433
310, 0.002387, 0.002462, 0.002434
311, 0.002389, 0.002464, 0.002436
312, 0.002388, 0.002462, 0.002433
313, 0.002386, 0.002461, 0.002432
314, 0.002386, 0.002460, 0.002431
315, 0.002384, 0.002459, 0.002430
316, 0.002383, 0.002457, 0.002428
317, 0.002380, 0.002454, 0.002425
318, 0.002383, 0.002455, 0.002426
319, 0.002380, 0.002455, 0.002426
320, 0.002381, 0.002454, 0.002425
321, 0.002380, 0.002452, 0.002422
322, 0.002377, 0.002454, 0.002425
323, 0.002380, 0.002456, 0.002427
324, 0.002378, 0.002451, 0.002422
325, 0.002375, 0.002449, 0.002419
326, 0.002374, 0.002448, 0.002418
327, 0.002373, 0.002447, 0.002418
328, 0.002370, 0.002447, 0.002417
329, 0.002373, 0.002448, 0.002418
330, 0.002372, 0.002446, 0.002417
331, 0.002369, 0.002448, 0.002418
332, 0.002371, 0.002446, 0.002417
333, 0.002368, 0.002446, 0.002417
334, 0.002367, 0.002443, 0.002414
335, 0.002364, 0.002442, 0.002413
336, 0.002365, 0.002447, 0.002418
337, 0.002366, 0.002444, 0.002415
338, 0.002367, 0.002438, 0.002409
339, 0.002364, 0.002440, 0.002411
340, 0.002364, 0.002444, 0.002414
341, 0.002362, 0.002439, 0.002410
342, 0.002360, 0.002439, 0.002410
343, 0.002362, 0.002444, 0.002414
344, 0.002358, 0.002437, 0.002407
345, 0.002357, 0.002433, 0.002403
346, 0.002359, 0.002438, 0.002408
347, 0.002357, 0.002439, 0.002409
348, 0.002357, 0.002435, 0.002405
349, 0.002361, 0.002436, 0.002406
350, 0.002357, 0.002437, 0.002407
351, 0.002355, 0.002432, 0.002403
352, 0.002356, 0.002432, 0.002402
353, 0.002354, 0.002433, 0.002404
354, 0.002353, 0.002432, 0.002403
355, 0.002354, 0.002430, 0.002401
356, 0.002353, 0.002432, 0.002402
357, 0.002353, 0.002429, 0.002400
358, 0.002350, 0.002428, 0.002399
359, 0.002349, 0.002429, 0.002399
360, 0.002351, 0.002434, 0.002404
361, 0.002351, 0.002427, 0.002397
362, 0.002351, 0.002424, 0.002395
363, 0.002350, 0.002428, 0.002398
364, 0.002345, 0.002427, 0.002397
365, 0.002348, 0.002422, 0.002393
366, 0.002348, 0.002424, 0.002394
367, 0.002344, 0.002426, 0.002396
368, 0.002343, 0.002422, 0.002392
369, 0.002345, 0.002422, 0.002392
370, 0.002344, 0.002425, 0.002394
371, 0.002345, 0.002422, 0.002392
372, 0.002346, 0.002420, 0.002390
373, 0.002344, 0.002422, 0.002392
374, 0.002341, 0.002420, 0.002390
375, 0.002341, 0.002420, 0.002390
376, 0.002340, 0.002422, 0.002392
377, 0.002341, 0.002420, 0.002390
378, 0.002341, 0.002419, 0.002389
379, 0.002343, 0.002420, 0.002389
380, 0.002338, 0.002417, 0.002387
381, 0.002336, 0.002418, 0.002388
382, 0.002337, 0.002418, 0.002388
383, 0.002337, 0.002416, 0.002386
384, 0.002341, 0.002416, 0.002386
385, 0.002337, 0.002418, 0.002388
386, 0.002335, 0.002415, 0.002385
387, 0.002336, 0.002414, 0.002384
388, 0.002335, 0.002413, 0.002383
389, 0.002334, 0.002417, 0.002386
390, 0.002335, 0.002415, 0.002384
391, 0.002335, 0.002413, 0.002382
392, 0.002334, 0.002417, 0.002386
393, 0.002334, 0.002412, 0.002381
394, 0.002332, 0.002411, 0.002381
395, 0.002328, 0.002413, 0.002383
396, 0.002331, 0.002415, 0.002385
397, 0.002330, 0.002410, 0.002381
398, 0.002330, 0.002412, 0.002382
399, 0.002331, 0.002412, 0.002381
400, 0.002332, 0.002406, 0.002377
401, 0.002329, 0.002409, 0.002378
402, 0.002325, 0.002415, 0.002384
403, 0.002329, 0.002409, 0.002380
404, 0.002329, 0.002407, 0.002378
405, 0.002327, 0.002410, 0.002380
406, 0.002326, 0.002409, 0.002378
407, 0.002327, 0.002404, 0.002374
408, 0.002325, 0.002408, 0.002377
409, 0.002327, 0.002408, 0.002376
410, 0.002323, 0.002407, 0.002376
411, 0.002324, 0.002405, 0.002375
412, 0.002323, 0.002408, 0.002376
413, 0.002325, 0.002404, 0.002374
414, 0.002322, 0.002404, 0.002374
415, 0.002321, 0.002406, 0.002375
416, 0.002326, 0.002404, 0.002374
417, 0.002320, 0.002405, 0.002374
418, 0.002320, 0.002401, 0.002371
419, 0.002323, 0.002405, 0.002375
420, 0.002317, 0.002407, 0.002376
421, 0.002318, 0.002401, 0.002371
422, 0.002322, 0.002401, 0.002371
423, 0.002320, 0.002411, 0.002379
424, 0.002322, 0.002400, 0.002370
425, 0.002321, 0.002399, 0.002369
426, 0.002322, 0.002417, 0.002384
427, 0.002319, 0.002401, 0.002370
428, 0.002321, 0.002398, 0.002369
429, 0.002323, 0.002409, 0.002377
430, 0.002323, 0.002401, 0.002370
431, 0.002315, 0.002398, 0.002369
432, 0.002319, 0.002402, 0.002370
433, 0.002317, 0.002409, 0.002376
434, 0.002320, 0.002398, 0.002368
435, 0.002317, 0.002404, 0.002372
436, 0.002313, 0.002412, 0.002379
437, 0.002316, 0.002397, 0.002368
438, 0.002317, 0.002397, 0.002366
439, 0.002313, 0.002404, 0.002372
440, 0.002315, 0.002395, 0.002366
441, 0.002314, 0.002395, 0.002365
442, 0.002316, 0.002403, 0.002371
443, 0.002316, 0.002397, 0.002367
444, 0.002313, 0.002397, 0.002368
445, 0.002310, 0.002400, 0.002368
446, 0.002313, 0.002398, 0.002366
447, 0.002313, 0.002394, 0.002364
448, 0.002312, 0.002400, 0.002369
449, 0.002312, 0.002399, 0.002367
450, 0.002310, 0.002394, 0.002364
451, 0.002311, 0.002396, 0.002365
452, 0.002311, 0.002397, 0.002366
453, 0.002307, 0.002392, 0.002362
454, 0.002313, 0.002394, 0.002363
455, 0.002310, 0.002400, 0.002368
456, 0.002310, 0.002394, 0.002363
457, 0.002306, 0.002394, 0.002363
458, 0.002308, 0.002395, 0.002364
459, 0.002312, 0.002399, 0.002367
460, 0.002309, 0.002392, 0.002362
461, 0.002309, 0.002392, 0.002361
462, 0.002306, 0.002395, 0.002364
463, 0.002309, 0.002391, 0.002361
464, 0.002306, 0.002394, 0.002363
465, 0.002306, 0.002397, 0.002365
466, 0.002306, 0.002389, 0.002360
467, 0.002309, 0.002393, 0.002362
468, 0.002305, 0.002402, 0.002369
469, 0.002309, 0.002389, 0.002360
470, 0.002310, 0.002392, 0.002361
471, 0.002303, 0.002399, 0.002367
472, 0.002310, 0.002389, 0.002359
473, 0.002305, 0.002389, 0.002359
474, 0.002303, 0.002395, 0.002363
475, 0.002308, 0.002390, 0.002359
476, 0.002307, 0.002390, 0.002359
477, 0.002301, 0.002397, 0.002365
478, 0.002304, 0.002388, 0.002358
479, 0.002306, 0.002388, 0.002357
480, 0.002302, 0.002392, 0.002361
481, 0.002303, 0.002387, 0.002357
482, 0.002302, 0.002389, 0.002358
483, 0.002301, 0.002390, 0.002359
484, 0.002301, 0.002392, 0.002360
485, 0.002300, 0.002387, 0.002356
486, 0.002306, 0.002393, 0.002360
487, 0.002303, 0.002388, 0.002357
488, 0.002301, 0.002387, 0.002356
489, 0.002301, 0.002393, 0.002360
490, 0.002302, 0.002390, 0.002358
491, 0.002299, 0.002385, 0.002354
492, 0.002300, 0.002388, 0.002356
493, 0.002298, 0.002390, 0.002358
494, 0.002301, 0.002385, 0.002355
495, 0.002299, 0.002391, 0.002359
496, 0.002300, 0.002392, 0.002360
497, 0.002302, 0.002384, 0.002354
498, 0.002300, 0.002388, 0.002357
499, 0.002299, 0.002391, 0.002359
500, 0.002299, 0.002382, 0.002353
501, 0.002297, 0.002388, 0.002358
502, 0.002297, 0.002388, 0.002357
503, 0.002298, 0.002382, 0.002353
504, 0.002297, 0.002384, 0.002354
505, 0.002296, 0.002392, 0.002360
506, 0.002299, 0.002381, 0.002351
507, 0.002300, 0.002387, 0.002356
508, 0.002296, 0.002393, 0.002361
509, 0.002298, 0.002383, 0.002354
510, 0.002296, 0.002386, 0.002355
511, 0.002295, 0.002396, 0.002363
512, 0.002300, 0.002380, 0.002350
513, 0.002299, 0.002387, 0.002356
514, 0.002296, 0.002388, 0.002357
515, 0.002296, 0.002381, 0.002351
516, 0.002296, 0.002385, 0.002354
517, 0.002290, 0.002391, 0.002359
518, 0.002297, 0.002380, 0.002350
519, 0.002295, 0.002388, 0.002356
520, 0.002294, 0.002386, 0.002354
521, 0.002293, 0.002379, 0.002349
522, 0.002294, 0.002387, 0.002355
523, 0.002294, 0.002386, 0.002353
524, 0.002294, 0.002378, 0.002348
525, 0.002291, 0.002385, 0.002353
526, 0.002292, 0.002386, 0.002353
527, 0.002291, 0.002380, 0.002349
528, 0.002293, 0.002386, 0.002354
529, 0.002290, 0.002378, 0.002348
530, 0.002289, 0.002378, 0.002348
531, 0.002289, 0.002392, 0.002359
532, 0.002293, 0.002378, 0.002348
533, 0.002292, 0.002380, 0.002350
534, 0.002289, 0.002384, 0.002353
535, 0.002289, 0.002382, 0.002351
536, 0.002290, 0.002379, 0.002348
537, 0.002290, 0.002382, 0.002350
538, 0.002294, 0.002382, 0.002350
539, 0.002290, 0.002377, 0.002347
540, 0.002288, 0.002383, 0.002351
541, 0.002288, 0.002381, 0.002349
542, 0.002287, 0.002375, 0.002344
543, 0.002291, 0.002380, 0.002349
544, 0.002289, 0.002380, 0.002349
545, 0.002286, 0.002375, 0.002345
546, 0.002285, 0.002379, 0.002348
547, 0.002288, 0.002377, 0.002346
548, 0.002283, 0.002378, 0.002347
549, 0.002286, 0.002380, 0.002349
550, 0.002284, 0.002378, 0.002347
551, 0.002286, 0.002377, 0.002346
552, 0.002282, 0.002373, 0.002343
553, 0.002286, 0.002382, 0.002350
554, 0.002284, 0.002373, 0.002343
555, 0.002288, 0.002378, 0.002347
556, 0.002282, 0.002375, 0.002344
557, 0.002283, 0.002374, 0.002343
558, 0.002284, 0.002377, 0.002346
559, 0.002281, 0.002376, 0.002345
560, 0.002283, 0.002375, 0.002344
561, 0.002284, 0.002377, 0.002346
562, 0.002281, 0.002374, 0.002344
563, 0.002283, 0.002375, 0.002345
564, 0.002284, 0.002370, 0.002340
565, 0.002284, 0.002375, 0.002344
566, 0.002281, 0.002376, 0.002345
567, 0.002280, 0.002371, 0.002341
568, 0.002281, 0.002376, 0.002345
569, 0.002283, 0.002374, 0.002342
570, 0.002278, 0.002368, 0.002338
571, 0.002279, 0.002373, 0.002341
572, 0.002278, 0.002372, 0.002340
573, 0.002276, 0.002372, 0.002341
574, 0.002277, 0.002375, 0.002343
575, 0.002279, 0.002368, 0.002338
576, 0.002280, 0.002374, 0.002343
577, 0.002281, 0.002375, 0.002344
578, 0.002278, 0.002366, 0.002337
579, 0.002282, 0.002375, 0.002344
580, 0.002278, 0.002370, 0.002340
581, 0.002279, 0.002366, 0.002336
582, 0.002277, 0.002371, 0.002341
