Epoch, Train Loss, Valid Loss, Test Loss
1, 0.491735, 0.369201, 0.370780
2, 0.336782, 0.313239, 0.313103
3, 0.301286, 0.286851, 0.285825
4, 0.276544, 0.262012, 0.260798
5, 0.248936, 0.230068, 0.228892
6, 0.215210, 0.194066, 0.193031
7, 0.178639, 0.156763, 0.155947
8, 0.141929, 0.121244, 0.120661
9, 0.108176, 0.089919, 0.089511
10, 0.079032, 0.064055, 0.063805
