Epoch, Train Loss, Valid Loss, Test Loss
1, 0.568519, 0.505818, 0.504422
2, 0.446283, 0.393969, 0.392623
3, 0.342167, 0.296668, 0.295600
4, 0.254631, 0.218519, 0.217679
5, 0.185961, 0.158740, 0.158114
6, 0.135448, 0.115394, 0.114977
7, 0.099758, 0.084374, 0.084154
8, 0.073087, 0.063238, 0.063189
9, 0.053459, 0.047490, 0.047560
10, 0.039251, 0.035208, 0.035350
