Epoch, Train Loss, Valid Loss, Test Loss
1, 0.425762, 0.542070, 0.543719
2, 0.368009, 0.475942, 0.478251
3, 0.323503, 0.418161, 0.421257
4, 0.289865, 0.369915, 0.373533
5, 0.264240, 0.331387, 0.335567
6, 0.243971, 0.306577, 0.310846
7, 0.229898, 0.286114, 0.290387
8, 0.217075, 0.268279, 0.272461
9, 0.204625, 0.250721, 0.254536
10, 0.191543, 0.233612, 0.237073
11, 0.178353, 0.217130, 0.220247
12, 0.165218, 0.201282, 0.204016
13, 0.152301, 0.186676, 0.189058
14, 0.140241, 0.172878, 0.174978
15, 0.129028, 0.159477, 0.161346
16, 0.118417, 0.146616, 0.148293
17, 0.108431, 0.134173, 0.135686
18, 0.098940, 0.121951, 0.123323
19, 0.089785, 0.109963, 0.111223
20, 0.080947, 0.098378, 0.099552
21, 0.072514, 0.087415, 0.088518
22, 0.064588, 0.077280, 0.078316
23, 0.057249, 0.068132, 0.069099
24, 0.050584, 0.060010, 0.060902
25, 0.044638, 0.052841, 0.053657
26, 0.039381, 0.046548, 0.047296
27, 0.034746, 0.041056, 0.041746
28, 0.030679, 0.036302, 0.036939
29, 0.027130, 0.032166, 0.032756
30, 0.024030, 0.028495, 0.029042
31, 0.021323, 0.025219, 0.025728
32, 0.018900, 0.022334, 0.022808
33, 0.016810, 0.019851, 0.020292
34, 0.014986, 0.017728, 0.018139
35, 0.013425, 0.015921, 0.016306
36, 0.012099, 0.014379, 0.014742
37, 0.010967, 0.013072, 0.013419
38, 0.010015, 0.011959, 0.012292
39, 0.009201, 0.011001, 0.011321
40, 0.008491, 0.010160, 0.010469
41, 0.007861, 0.009398, 0.009697
42, 0.007312, 0.008682, 0.008972
43, 0.006797, 0.008039, 0.008317
44, 0.006341, 0.007465, 0.007732
45, 0.005930, 0.006953, 0.007210
46, 0.005558, 0.006494, 0.006741
47, 0.005236, 0.006076, 0.006316
48, 0.004945, 0.005704, 0.005938
49, 0.004693, 0.005381, 0.005609
50, 0.004471, 0.005107, 0.005329
51, 0.004278, 0.004876, 0.005090
52, 0.004102, 0.004670, 0.004876
53, 0.003940, 0.004482, 0.004679
54, 0.003802, 0.004305, 0.004496
55, 0.003676, 0.004150, 0.004334
56, 0.003559, 0.004014, 0.004192
57, 0.003457, 0.003891, 0.004065
58, 0.003367, 0.003786, 0.003954
59, 0.003292, 0.003697, 0.003860
60, 0.003231, 0.003623, 0.003782
61, 0.003171, 0.003554, 0.003708
62, 0.003117, 0.003486, 0.003636
63, 0.003075, 0.003422, 0.003568
64, 0.003035, 0.003360, 0.003501
65, 0.002994, 0.003310, 0.003447
66, 0.002953, 0.003265, 0.003397
67, 0.002911, 0.003227, 0.003356
68, 0.002893, 0.003183, 0.003308
69, 0.002859, 0.003142, 0.003263
70, 0.002841, 0.003109, 0.003227
71, 0.002810, 0.003088, 0.003202
72, 0.002788, 0.003064, 0.003175
73, 0.002773, 0.003038, 0.003147
74, 0.002754, 0.003013, 0.003119
75, 0.002740, 0.002990, 0.003093
76, 0.002719, 0.002971, 0.003072
77, 0.002711, 0.002957, 0.003054
78, 0.002697, 0.002947, 0.003042
79, 0.002685, 0.002933, 0.003025
80, 0.002670, 0.002916, 0.003006
81, 0.002662, 0.002899, 0.002987
82, 0.002653, 0.002884, 0.002970
83, 0.002646, 0.002878, 0.002961
84, 0.002633, 0.002879, 0.002959
85, 0.002632, 0.002869, 0.002945
86, 0.002619, 0.002858, 0.002932
87, 0.002612, 0.002845, 0.002918
88, 0.002606, 0.002835, 0.002906
89, 0.002600, 0.002829, 0.002898
90, 0.002598, 0.002821, 0.002888
91, 0.002585, 0.002813, 0.002878
92, 0.002584, 0.002810, 0.002873
93, 0.002585, 0.002810, 0.002869
94, 0.002574, 0.002805, 0.002862
95, 0.002568, 0.002797, 0.002852
96, 0.002558, 0.002790, 0.002844
97, 0.002559, 0.002782, 0.002835
98, 0.002554, 0.002777, 0.002828
99, 0.002545, 0.002779, 0.002827
100, 0.002546, 0.002781, 0.002828
101, 0.002542, 0.002777, 0.002823
102, 0.002532, 0.002769, 0.002813
103, 0.002532, 0.002759, 0.002803
104, 0.002531, 0.002756, 0.002798
105, 0.002524, 0.002760, 0.002799
106, 0.002520, 0.002762, 0.002800
107, 0.002521, 0.002757, 0.002794
108, 0.002512, 0.002750, 0.002785
109, 0.002507, 0.002742, 0.002776
110, 0.002508, 0.002742, 0.002775
111, 0.002505, 0.002746, 0.002777
112, 0.002507, 0.002741, 0.002771
113, 0.002499, 0.002735, 0.002765
114, 0.002496, 0.002731, 0.002760
115, 0.002499, 0.002731, 0.002758
116, 0.002483, 0.002730, 0.002757
117, 0.002483, 0.002726, 0.002752
118, 0.002480, 0.002722, 0.002747
119, 0.002480, 0.002722, 0.002746
120, 0.002479, 0.002722, 0.002746
121, 0.002473, 0.002720, 0.002743
122, 0.002474, 0.002717, 0.002738
123, 0.002473, 0.002715, 0.002735
124, 0.002469, 0.002713, 0.002731
125, 0.002467, 0.002714, 0.002732
126, 0.002463, 0.002712, 0.002729
127, 0.002461, 0.002702, 0.002719
128, 0.002461, 0.002699, 0.002716
129, 0.002459, 0.002701, 0.002716
130, 0.002454, 0.002708, 0.002721
131, 0.002453, 0.002705, 0.002717
132, 0.002446, 0.002700, 0.002711
133, 0.002443, 0.002694, 0.002706
134, 0.002440, 0.002694, 0.002705
135, 0.002435, 0.002694, 0.002703
136, 0.002438, 0.002693, 0.002701
137, 0.002438, 0.002694, 0.002702
138, 0.002431, 0.002692, 0.002699
139, 0.002429, 0.002691, 0.002697
140, 0.002424, 0.002684, 0.002691
141, 0.002421, 0.002683, 0.002688
142, 0.002417, 0.002682, 0.002687
143, 0.002415, 0.002683, 0.002688
144, 0.002416, 0.002683, 0.002688
145, 0.002412, 0.002685, 0.002688
146, 0.002407, 0.002681, 0.002684
147, 0.002409, 0.002677, 0.002679
148, 0.002401, 0.002673, 0.002675
149, 0.002410, 0.002670, 0.002673
150, 0.002401, 0.002669, 0.002671
151, 0.002396, 0.002672, 0.002672
152, 0.002398, 0.002670, 0.002670
153, 0.002389, 0.002670, 0.002669
154, 0.002396, 0.002668, 0.002666
155, 0.002390, 0.002666, 0.002665
156, 0.002387, 0.002665, 0.002664
157, 0.002385, 0.002666, 0.002664
158, 0.002382, 0.002664, 0.002661
159, 0.002381, 0.002666, 0.002662
160, 0.002379, 0.002660, 0.002656
161, 0.002377, 0.002661, 0.002657
162, 0.002369, 0.002658, 0.002653
163, 0.002374, 0.002656, 0.002651
164, 0.002369, 0.002654, 0.002648
165, 0.002365, 0.002655, 0.002648
166, 0.002367, 0.002655, 0.002648
167, 0.002360, 0.002657, 0.002650
168, 0.002362, 0.002654, 0.002647
169, 0.002356, 0.002652, 0.002644
170, 0.002362, 0.002650, 0.002641
171, 0.002357, 0.002649, 0.002640
172, 0.002353, 0.002646, 0.002636
173, 0.002348, 0.002645, 0.002636
174, 0.002350, 0.002645, 0.002636
175, 0.002347, 0.002644, 0.002634
176, 0.002346, 0.002644, 0.002633
177, 0.002339, 0.002643, 0.002632
178, 0.002342, 0.002642, 0.002631
179, 0.002337, 0.002642, 0.002631
180, 0.002334, 0.002640, 0.002629
181, 0.002336, 0.002639, 0.002628
182, 0.002329, 0.002637, 0.002626
183, 0.002329, 0.002634, 0.002622
184, 0.002327, 0.002633, 0.002620
185, 0.002324, 0.002633, 0.002619
186, 0.002323, 0.002636, 0.002622
187, 0.002324, 0.002633, 0.002620
188, 0.002318, 0.002632, 0.002619
189, 0.002320, 0.002628, 0.002614
190, 0.002317, 0.002630, 0.002615
191, 0.002314, 0.002630, 0.002615
192, 0.002315, 0.002629, 0.002614
193, 0.002314, 0.002626, 0.002612
194, 0.002310, 0.002623, 0.002609
195, 0.002309, 0.002622, 0.002607
196, 0.002304, 0.002621, 0.002606
197, 0.002303, 0.002619, 0.002603
