Epoch, Train Loss, Valid Loss, Test Loss
1, 0.420521, 0.389587, 0.391338
2, 0.325317, 0.318687, 0.318901
3, 0.293014, 0.279626, 0.278487
4, 0.258810, 0.243179, 0.242232
5, 0.221626, 0.200145, 0.199458
6, 0.180371, 0.158090, 0.157528
7, 0.140687, 0.120078, 0.119693
8, 0.105162, 0.087421, 0.087214
9, 0.075647, 0.062072, 0.061992
10, 0.052834, 0.042530, 0.042520
