Epoch, Train Loss, Valid Loss, Test Loss
1, 0.412220, 0.542124, 0.543770
2, 0.354911, 0.475962, 0.478270
3, 0.311074, 0.417514, 0.420694
4, 0.278269, 0.369414, 0.373161
5, 0.253395, 0.331249, 0.335533
6, 0.233933, 0.306882, 0.311237
7, 0.220693, 0.286984, 0.291342
8, 0.208839, 0.269598, 0.273846
9, 0.197423, 0.252318, 0.256206
10, 0.185430, 0.235321, 0.238879
11, 0.173271, 0.218788, 0.222005
12, 0.161042, 0.202773, 0.205602
13, 0.148918, 0.187978, 0.190455
14, 0.137578, 0.173948, 0.176144
15, 0.126954, 0.160397, 0.162362
16, 0.116847, 0.147493, 0.149256
17, 0.107294, 0.135099, 0.136684
18, 0.098187, 0.123002, 0.124433
19, 0.089382, 0.111151, 0.112463
20, 0.080841, 0.099668, 0.100887
21, 0.072633, 0.088741, 0.089880
22, 0.064856, 0.078577, 0.079642
23, 0.057604, 0.069357, 0.070345
24, 0.050977, 0.061124, 0.062030
25, 0.045027, 0.053827, 0.054653
26, 0.039736, 0.047401, 0.048157
27, 0.035058, 0.041789, 0.042484
28, 0.030955, 0.036935, 0.037575
29, 0.027378, 0.032710, 0.033301
30, 0.024253, 0.028951, 0.029498
31, 0.021520, 0.025609, 0.026117
32, 0.019076, 0.022693, 0.023164
33, 0.016971, 0.020180, 0.020617
34, 0.015132, 0.018025, 0.018433
35, 0.013564, 0.016202, 0.016583
36, 0.012236, 0.014664, 0.015023
37, 0.011109, 0.013359, 0.013700
38, 0.010161, 0.012242, 0.012569
39, 0.009350, 0.011291, 0.011604
40, 0.008644, 0.010457, 0.010758
41, 0.008019, 0.009688, 0.009979
42, 0.007470, 0.008966, 0.009247
43, 0.006955, 0.008320, 0.008591
44, 0.006501, 0.007750, 0.008009
45, 0.006088, 0.007230, 0.007479
46, 0.005713, 0.006753, 0.006992
47, 0.005387, 0.006319, 0.006552
48, 0.005095, 0.005959, 0.006185
49, 0.004841, 0.005642, 0.005863
50, 0.004622, 0.005361, 0.005576
51, 0.004423, 0.005116, 0.005323
52, 0.004239, 0.004891, 0.005090
53, 0.004089, 0.004724, 0.004915
54, 0.003945, 0.004557, 0.004743
55, 0.003826, 0.004402, 0.004582
56, 0.003709, 0.004263, 0.004437
57, 0.003603, 0.004127, 0.004296
58, 0.003502, 0.004006, 0.004170
59, 0.003431, 0.003926, 0.004086
60, 0.003365, 0.003858, 0.004014
61, 0.003312, 0.003788, 0.003939
62, 0.003256, 0.003711, 0.003858
63, 0.003205, 0.003640, 0.003782
64, 0.003161, 0.003566, 0.003704
65, 0.003131, 0.003548, 0.003682
66, 0.003097, 0.003528, 0.003658
67, 0.003075, 0.003495, 0.003622
68, 0.003056, 0.003451, 0.003574
69, 0.003020, 0.003403, 0.003522
70, 0.002997, 0.003348, 0.003464
71, 0.002953, 0.003307, 0.003420
72, 0.002917, 0.003261, 0.003371
73, 0.002927, 0.003258, 0.003366
74, 0.002887, 0.003245, 0.003350
75, 0.002880, 0.003228, 0.003330
76, 0.002863, 0.003208, 0.003307
77, 0.002851, 0.003177, 0.003273
78, 0.002822, 0.003155, 0.003248
79, 0.002820, 0.003165, 0.003256
80, 0.002808, 0.003155, 0.003243
81, 0.002808, 0.003139, 0.003225
82, 0.002801, 0.003126, 0.003210
83, 0.002790, 0.003117, 0.003198
84, 0.002772, 0.003094, 0.003171
85, 0.002756, 0.003064, 0.003140
86, 0.002774, 0.003083, 0.003157
87, 0.002751, 0.003097, 0.003169
88, 0.002761, 0.003093, 0.003163
89, 0.002757, 0.003089, 0.003156
90, 0.002753, 0.003070, 0.003135
91, 0.002731, 0.003040, 0.003103
92, 0.002716, 0.003019, 0.003081
93, 0.002713, 0.003010, 0.003069
94, 0.002704, 0.003025, 0.003081
95, 0.002701, 0.003033, 0.003087
96, 0.002699, 0.003033, 0.003085
97, 0.002701, 0.003015, 0.003066
98, 0.002688, 0.002986, 0.003035
99, 0.002666, 0.002971, 0.003018
100, 0.002711, 0.002992, 0.003039
101, 0.002677, 0.003003, 0.003049
102, 0.002669, 0.003000, 0.003044
103, 0.002669, 0.002995, 0.003037
104, 0.002668, 0.002977, 0.003016
105, 0.002653, 0.002957, 0.002995
106, 0.002642, 0.002971, 0.003009
107, 0.002654, 0.002976, 0.003013
108, 0.002647, 0.002968, 0.003003
109, 0.002635, 0.002962, 0.002995
110, 0.002633, 0.002953, 0.002983
111, 0.002638, 0.002961, 0.002991
112, 0.002638, 0.002966, 0.002995
113, 0.002642, 0.002964, 0.002993
114, 0.002640, 0.002956, 0.002985
115, 0.002634, 0.002952, 0.002979
116, 0.002611, 0.002939, 0.002964
117, 0.002620, 0.002935, 0.002959
118, 0.002602, 0.002934, 0.002958
119, 0.002608, 0.002930, 0.002954
120, 0.002604, 0.002924, 0.002947
121, 0.002596, 0.002917, 0.002939
122, 0.002591, 0.002923, 0.002943
123, 0.002592, 0.002922, 0.002941
124, 0.002589, 0.002909, 0.002926
125, 0.002583, 0.002919, 0.002936
126, 0.002580, 0.002916, 0.002933
127, 0.002579, 0.002892, 0.002909
128, 0.002576, 0.002897, 0.002913
129, 0.002576, 0.002902, 0.002917
130, 0.002571, 0.002903, 0.002915
131, 0.002568, 0.002904, 0.002915
132, 0.002566, 0.002905, 0.002916
133, 0.002560, 0.002896, 0.002907
134, 0.002558, 0.002888, 0.002898
135, 0.002551, 0.002886, 0.002895
136, 0.002566, 0.002897, 0.002905
137, 0.002560, 0.002907, 0.002914
138, 0.002555, 0.002903, 0.002909
139, 0.002555, 0.002890, 0.002895
140, 0.002544, 0.002878, 0.002883
141, 0.002548, 0.002892, 0.002898
142, 0.002542, 0.002894, 0.002899
143, 0.002541, 0.002896, 0.002900
144, 0.002543, 0.002887, 0.002891
145, 0.002530, 0.002878, 0.002881
146, 0.002549, 0.002910, 0.002912
147, 0.002548, 0.002926, 0.002928
148, 0.002557, 0.002933, 0.002935
149, 0.002572, 0.002929, 0.002931
150, 0.002558, 0.002918, 0.002919
151, 0.002544, 0.002898, 0.002898
152, 0.002532, 0.002871, 0.002870
153, 0.002523, 0.002890, 0.002889
154, 0.002529, 0.002908, 0.002907
155, 0.002536, 0.002907, 0.002904
156, 0.002531, 0.002894, 0.002891
157, 0.002521, 0.002876, 0.002872
158, 0.002504, 0.002855, 0.002851
159, 0.002553, 0.002846, 0.002842
160, 0.002535, 0.002835, 0.002831
161, 0.002525, 0.002829, 0.002824
162, 0.002511, 0.002812, 0.002807
163, 0.002507, 0.002800, 0.002794
164, 0.002497, 0.002785, 0.002779
165, 0.002486, 0.002775, 0.002769
166, 0.002480, 0.002766, 0.002760
167, 0.002465, 0.002761, 0.002753
168, 0.002460, 0.002747, 0.002739
169, 0.002446, 0.002730, 0.002723
170, 0.002443, 0.002713, 0.002705
171, 0.002430, 0.002701, 0.002693
172, 0.002419, 0.002689, 0.002681
173, 0.002407, 0.002682, 0.002674
174, 0.002405, 0.002675, 0.002666
175, 0.002396, 0.002669, 0.002661
176, 0.002392, 0.002665, 0.002656
177, 0.002382, 0.002662, 0.002654
178, 0.002383, 0.002658, 0.002649
179, 0.002377, 0.002658, 0.002648
180, 0.002373, 0.002655, 0.002645
181, 0.002374, 0.002654, 0.002644
182, 0.002368, 0.002652, 0.002642
183, 0.002367, 0.002649, 0.002639
184, 0.002366, 0.002648, 0.002636
185, 0.002362, 0.002650, 0.002637
186, 0.002361, 0.002651, 0.002638
187, 0.002361, 0.002647, 0.002635
188, 0.002356, 0.002644, 0.002632
