Epoch, Train Loss, Valid Loss, Test Loss
1, 0.494865, 0.542094, 0.543739
2, 0.425496, 0.475905, 0.478213
3, 0.372602, 0.417431, 0.420622
4, 0.333291, 0.369355, 0.373135
5, 0.303378, 0.331301, 0.335604
6, 0.280075, 0.307068, 0.311441
7, 0.264312, 0.287323, 0.291695
8, 0.250262, 0.270065, 0.274326
9, 0.236774, 0.252882, 0.256787
10, 0.222607, 0.235950, 0.239533
11, 0.208227, 0.219422, 0.222667
12, 0.193719, 0.203365, 0.206220
13, 0.179299, 0.188509, 0.191012
14, 0.165799, 0.174415, 0.176638
15, 0.153128, 0.160822, 0.162813
16, 0.141055, 0.147888, 0.149676
17, 0.129620, 0.135497, 0.137101
18, 0.118717, 0.123430, 0.124878
19, 0.108176, 0.111617, 0.112944
20, 0.097938, 0.100162, 0.101393
21, 0.088075, 0.089238, 0.090387
22, 0.078702, 0.079059, 0.080131
23, 0.069947, 0.069802, 0.070795
24, 0.061932, 0.061513, 0.062421
25, 0.054718, 0.054150, 0.054978
26, 0.048292, 0.047658, 0.048416
27, 0.042596, 0.041979, 0.042675
28, 0.037586, 0.037053, 0.037696
29, 0.033217, 0.032748, 0.033342
30, 0.029389, 0.028923, 0.029473
31, 0.026035, 0.025534, 0.026044
32, 0.023038, 0.022569, 0.023043
33, 0.020456, 0.020017, 0.020457
34, 0.018199, 0.017827, 0.018237
35, 0.016265, 0.015962, 0.016344
36, 0.014623, 0.014378, 0.014739
37, 0.013227, 0.013044, 0.013387
38, 0.012054, 0.011913, 0.012241
39, 0.011053, 0.010944, 0.011259
40, 0.010188, 0.010091, 0.010394
41, 0.009421, 0.009317, 0.009609
42, 0.008752, 0.008599, 0.008881
43, 0.008128, 0.007960, 0.008232
44, 0.007579, 0.007387, 0.007647
45, 0.007083, 0.006871, 0.007121
46, 0.006637, 0.006406, 0.006647
47, 0.006251, 0.005988, 0.006221
48, 0.005904, 0.005622, 0.005849
49, 0.005603, 0.005309, 0.005531
50, 0.005341, 0.005046, 0.005262
51, 0.005116, 0.004820, 0.005029
52, 0.004909, 0.004616, 0.004816
53, 0.004721, 0.004432, 0.004625
54, 0.004560, 0.004264, 0.004450
55, 0.004413, 0.004117, 0.004296
56, 0.004277, 0.003986, 0.004160
57, 0.004159, 0.003865, 0.004035
58, 0.004056, 0.003760, 0.003925
59, 0.003968, 0.003676, 0.003836
60, 0.003897, 0.003609, 0.003764
61, 0.003828, 0.003544, 0.003694
62, 0.003765, 0.003477, 0.003624
63, 0.003717, 0.003413, 0.003556
64, 0.003669, 0.003351, 0.003490
65, 0.003621, 0.003302, 0.003436
66, 0.003573, 0.003257, 0.003388
67, 0.003523, 0.003219, 0.003346
68, 0.003500, 0.003174, 0.003297
69, 0.003461, 0.003133, 0.003254
70, 0.003440, 0.003102, 0.003219
71, 0.003404, 0.003081, 0.003195
72, 0.003377, 0.003058, 0.003169
73, 0.003359, 0.003033, 0.003141
74, 0.003337, 0.003008, 0.003113
75, 0.003320, 0.002985, 0.003088
76, 0.003295, 0.002967, 0.003067
77, 0.003286, 0.002954, 0.003051
78, 0.003271, 0.002945, 0.003039
79, 0.003256, 0.002932, 0.003023
80, 0.003239, 0.002915, 0.003003
81, 0.003229, 0.002897, 0.002984
82, 0.003219, 0.002883, 0.002967
83, 0.003210, 0.002877, 0.002959
84, 0.003195, 0.002879, 0.002958
85, 0.003193, 0.002868, 0.002944
86, 0.003178, 0.002857, 0.002930
87, 0.003169, 0.002844, 0.002916
88, 0.003163, 0.002834, 0.002904
89, 0.003155, 0.002828, 0.002897
90, 0.003153, 0.002821, 0.002887
91, 0.003138, 0.002812, 0.002877
92, 0.003137, 0.002809, 0.002871
93, 0.003137, 0.002809, 0.002868
94, 0.003125, 0.002805, 0.002861
95, 0.003117, 0.002798, 0.002853
96, 0.003105, 0.002790, 0.002844
97, 0.003107, 0.002782, 0.002834
98, 0.003101, 0.002777, 0.002827
99, 0.003091, 0.002779, 0.002827
100, 0.003092, 0.002781, 0.002828
101, 0.003087, 0.002778, 0.002824
102, 0.003075, 0.002769, 0.002813
103, 0.003076, 0.002759, 0.002803
104, 0.003074, 0.002756, 0.002798
105, 0.003065, 0.002759, 0.002799
106, 0.003060, 0.002763, 0.002801
107, 0.003062, 0.002758, 0.002795
108, 0.003051, 0.002750, 0.002786
109, 0.003046, 0.002742, 0.002777
110, 0.003046, 0.002742, 0.002775
111, 0.003043, 0.002746, 0.002777
112, 0.003044, 0.002741, 0.002771
113, 0.003035, 0.002736, 0.002765
114, 0.003032, 0.002732, 0.002761
115, 0.003036, 0.002731, 0.002759
116, 0.003017, 0.002730, 0.002757
117, 0.003017, 0.002726, 0.002752
118, 0.003013, 0.002723, 0.002748
119, 0.003014, 0.002724, 0.002748
120, 0.003012, 0.002723, 0.002747
121, 0.003005, 0.002721, 0.002743
122, 0.003007, 0.002718, 0.002740
123, 0.003004, 0.002716, 0.002736
124, 0.003000, 0.002714, 0.002732
125, 0.002998, 0.002715, 0.002733
126, 0.002993, 0.002713, 0.002730
127, 0.002990, 0.002704, 0.002721
128, 0.002991, 0.002701, 0.002718
129, 0.002989, 0.002702, 0.002717
130, 0.002983, 0.002708, 0.002722
